Stock,CurrentPrice,BestPrice,AvgPrice,LeastPrice,%Prob of Return>=SustainableTarget,%Prob of Return>RiskFreeRate
S&P 500,5505.0,8444.69,5569.16,3605.42,22.52,68.34
3M,103.92,208.79,105.12,54.44,26.86,62.28
A. O. Smith,87.99,182.16,89.96,45.77,32.14,61.54
Abbott,102.03,176.71,103.03,59.48,26.04,62.56
AbbVie,172.32,346.82,175.34,86.69,30.14,61.08
Accenture,329.19,599.73,333.78,170.37,27.96,62.6
Adobe Inc.,551.0,1342.07,567.46,253.19,34.28,59.54
Advanced Micro Devices,151.58,631.81,164.59,28.88,40.58,56.58
AES Corporation,17.1,42.19,17.49,7.82,32.94,59.3
Aflac,92.91,181.73,94.94,40.82,31.96,61.8
Agilent Technologies,131.78,285.36,134.01,56.98,31.34,59.52
Air Products and Chemicals,262.91,459.55,267.07,151.86,28.46,62.78
Airbnb,147.99,547.86,155.68,42.68,38.06,54.92
Akamai,95.05,240.54,97.86,39.19,34.38,57.98
Albemarle Corporation,92.09,230.33,95.84,35.31,36.8,58.08
Alexandria Real Estate Equities,125.21,227.92,127.4,69.07,29.2,63.18
Align Technology,251.6,830.66,265.46,81.42,37.2,56.44
Allegion,124.1,248.71,126.24,68.91,30.3,60.76
Alliant Energy,54.84,108.24,55.35,28.48,24.04,65.28
Allstate,174.38,312.57,176.77,90.61,27.98,62.48
Alphabet Inc. (Class A),177.66,379.1,180.83,85.21,31.06,60.26
Alphabet Inc. (Class C),179.39,373.91,183.41,68.95,31.06,61.22
Altria,49.45,86.02,50.02,28.95,25.6,64.2
Amazon,183.13,388.18,187.94,80.67,33.5,59.66
Amcor,10.11,20.66,10.27,5.32,29.06,62.42
Ameren,74.82,136.14,75.87,43.74,27.26,64.54
American Airlines Group,10.58,38.9,11.28,3.1,40.12,55.34
American Electric Power,93.14,156.95,94.04,58.24,24.24,65.26
American Express,242.38,520.66,248.01,106.16,32.9,61.08
American International Group,74.42,187.49,76.64,28.99,34.08,58.88
American Tower,210.14,379.59,213.12,114.37,28.36,62.14
American Water Works,141.16,245.54,142.85,79.99,27.26,63.18
Ameriprise Financial,410.89,788.48,419.62,166.2,32.9,58.1
Ametek,169.16,378.06,171.65,80.52,28.68,62.06
Amgen,331.29,596.84,334.03,176.53,27.76,60.06
Amphenol,64.35,116.64,65.13,33.81,28.28,62.04
Analog Devices,231.22,473.88,236.94,111.68,32.74,60.02
Ansys,314.54,596.01,320.76,157.42,31.84,61.32
Aon,296.17,546.62,300.59,157.5,26.8,64.32
APA Corporation,32.01,123.21,33.98,8.22,38.76,54.8
Apple Inc.,224.31,478.59,229.22,112.06,32.1,60.38
Applied Materials,210.26,552.65,217.91,80.82,35.68,58.56
Aptiv,68.87,218.36,71.45,26.84,35.94,58.24
Arch Capital Group,96.1,188.71,97.73,52.15,29.18,63.14
Archer-Daniels-Midland,64.19,126.0,65.47,34.78,30.52,61.8
Arista Networks,330.56,960.34,347.92,96.33,38.62,57.08
Arthur J. Gallagher & Co.,270.27,470.9,274.0,158.73,25.74,64.76
Assurant,169.79,333.41,172.73,88.28,30.06,61.78
AT&T,19.12,35.66,19.35,11.87,25.78,64.06
Atmos Energy,122.95,209.3,123.99,72.02,25.26,62.7
Autodesk,242.45,672.2,249.9,94.85,34.76,57.64
Automatic Data Processing,246.97,420.7,250.94,126.64,27.66,64.06
AutoZone,2950.4,5243.4,2989.67,1515.48,28.1,62.46
AvalonBay Communities,207.37,382.99,209.96,102.72,28.2,61.82
Avery Dennison,219.99,429.27,224.49,116.86,31.1,61.08
Axon Enterprise,308.45,1102.65,324.27,103.1,37.92,55.14
Baker Hughes,35.93,104.8,37.53,11.26,37.16,57.9
Ball Corporation,61.04,111.0,62.17,32.53,30.22,62.8
Bank of America,42.9,101.5,44.18,17.4,34.76,59.16
Bank of New York Mellon,62.69,156.97,63.91,33.94,31.14,61.0
"Bath & Body Works, Inc.",37.57,138.02,39.48,11.0,37.8,56.06
Baxter International,35.35,72.2,35.92,20.04,28.74,62.26
Becton Dickinson,230.74,394.62,233.31,133.95,25.38,64.88
Berkshire Hathaway,434.47,736.79,437.35,272.92,23.96,64.02
Best Buy,88.6,252.26,92.27,32.8,37.16,58.14
Bio-Rad,296.82,589.01,302.28,139.82,31.58,60.06
Bio-Techne,75.46,153.8,77.13,37.44,31.4,61.0
Biogen,226.4,606.74,235.87,89.77,37.06,58.84
BlackRock,830.7,1763.27,848.65,409.04,31.64,61.46
Blackstone,138.59,355.6,143.13,56.77,34.44,58.78
Boeing,179.67,390.47,184.36,73.84,35.02,56.7
Booking Holdings,3967.25,8459.3,4084.49,1900.39,34.76,59.48
BorgWarner,32.62,81.17,33.69,13.32,34.54,59.98
Boston Scientific,77.56,162.25,79.23,39.31,31.58,60.82
Bristol Myers Squibb,42.64,89.63,43.1,24.02,27.06,62.44
Broadcom Inc.,157.35,386.99,162.15,63.54,35.04,57.92
Broadridge Financial Solutions,201.89,379.27,204.72,113.03,26.96,63.86
Brown & Brown,92.46,161.79,93.41,50.08,26.34,62.58
Brown–Forman,,,,,0.0,100.0
Builders FirstSource,43.48,74.79,44.12,25.68,27.56,63.28
Bunge Global SA,111.92,237.62,114.98,55.14,33.3,61.22
"BXP, Inc.",66.76,137.01,68.08,30.23,31.0,59.72
Cadence Design Systems,279.95,599.03,286.5,138.75,33.16,60.14
Caesars Entertainment,36.86,149.45,39.93,8.15,40.08,54.12
Camden Property Trust,112.65,220.57,113.87,56.59,27.56,61.86
Campbell Soup Company,46.4,76.19,46.85,26.73,25.96,62.74
Capital One,147.27,340.77,151.91,60.52,34.88,59.04
Cardinal Health,95.03,189.88,96.96,49.01,30.9,60.9
CarMax,80.01,188.85,82.75,29.49,36.3,58.36
Carnival,18.43,66.0,19.62,5.14,38.7,56.46
Carrier Global,66.24,176.26,68.49,24.6,35.76,57.68
Catalent,57.91,206.26,60.57,19.72,37.4,57.16
Caterpillar Inc.,347.63,719.67,355.3,162.73,32.66,60.08
Cboe Global Markets,184.63,367.97,187.88,99.28,29.02,62.34
CBRE Group,97.83,230.45,100.54,41.04,34.24,57.96
CDW,228.84,458.55,232.63,108.78,30.96,59.74
Celanese,138.86,325.38,142.79,54.99,34.42,58.42
Cencora,223.6,431.82,226.73,122.37,28.5,62.22
Centene Corporation,66.24,169.25,68.94,27.31,36.78,59.08
CenterPoint Energy,28.97,50.2,29.38,14.35,29.72,61.22
CF Industries,71.74,217.37,74.03,20.57,35.78,57.1
CH Robinson,88.86,161.85,90.18,46.74,29.1,61.06
Charles River Laboratories,218.24,514.98,223.28,102.4,32.48,58.68
Charles Schwab Corporation,62.08,166.86,63.69,19.65,34.42,58.9
Charter Communications,320.31,692.11,327.65,151.3,32.14,59.8
Chevron Corporation,159.15,318.76,162.05,83.53,30.88,60.14
Chipotle Mexican Grill,53.54,121.73,55.24,22.07,34.6,58.42
Chubb Limited,259.88,438.76,261.92,146.54,25.96,62.3
Church & Dwight,102.61,183.71,103.46,65.3,24.54,64.0
Cigna,335.84,754.2,340.62,159.37,30.06,59.34
Cincinnati Financial,121.03,236.25,123.3,64.54,29.92,61.58
Cintas,758.56,1492.75,770.14,353.94,29.34,62.82
Cisco,47.32,89.19,48.06,25.95,29.52,61.0
Citigroup,65.14,167.04,67.5,25.94,35.4,60.24
Citizens Financial Group,41.0,108.12,42.5,17.78,35.54,58.2
Clorox,135.14,228.48,136.15,79.84,25.04,63.34
CME Group,199.85,427.4,203.16,94.75,29.32,61.5
CMS Energy,61.34,100.2,62.04,37.03,25.04,64.66
Coca-Cola Company (The),65.29,102.31,65.81,42.52,21.52,67.0
Cognizant,74.33,149.65,75.84,37.09,32.3,59.46
Colgate-Palmolive,98.08,144.62,98.99,61.44,22.46,67.02
Comcast,40.08,77.41,40.63,22.23,28.2,61.46
Conagra Brands,29.63,52.64,29.85,15.72,27.16,60.68
ConocoPhillips,114.35,275.4,118.14,49.09,34.56,59.06
Consolidated Edison,94.04,159.41,94.89,60.62,24.16,64.72
Constellation Brands,245.45,511.58,249.22,119.37,30.6,59.62
Constellation Energy,189.3,533.04,196.61,62.6,36.24,56.92
Cooper Companies (The),90.75,177.69,92.69,44.29,31.4,61.36
Copart,51.71,99.29,52.58,28.66,29.5,62.0
Corning Inc.,44.31,94.19,45.33,18.0,32.42,59.34
Corpay,291.23,656.8,298.85,133.41,32.58,60.08
Corteva,54.78,147.84,56.51,22.73,34.74,58.24
CoStar Group,74.4,174.0,76.4,36.11,33.22,60.32
Costco,838.13,1410.03,850.22,485.66,25.92,64.78
Coterra,26.8,72.87,27.85,9.57,36.24,58.78
CrowdStrike,304.96,1231.94,331.72,85.17,41.16,55.7
Crown Castle,105.08,189.22,106.35,54.87,28.14,61.52
CSX,34.69,67.85,35.33,15.76,30.42,61.28
Cummins,291.15,565.21,297.78,124.69,32.3,60.76
CVS Health,59.57,119.39,60.35,30.08,28.22,61.3
Danaher Corporation,243.54,447.44,246.66,138.11,27.04,63.26
Darden Restaurants,142.86,304.15,146.99,59.75,34.02,59.74
DaVita Inc.,137.95,334.74,141.13,62.05,31.52,60.18
Dayforce,53.34,164.9,55.99,18.26,38.34,56.86
Deckers Brands,871.24,2750.37,905.78,276.32,36.82,57.6
Deere & Company,378.06,783.54,387.65,177.0,32.44,61.98
Delta Air Lines,45.44,119.75,47.01,17.34,36.06,56.22
Devon Energy,47.74,153.06,50.06,11.91,37.46,56.18
Dexcom,111.66,371.57,118.04,31.29,38.84,56.0
Diamondback Energy,205.47,631.7,219.17,57.25,39.94,56.96
Digital Realty,155.17,317.77,157.89,74.31,31.02,60.32
Discover Financial,141.77,332.91,147.02,56.67,35.68,58.44
Dollar General,122.42,233.14,125.13,59.89,32.08,61.12
Dollar Tree,106.56,225.03,109.32,50.28,32.54,59.62
Dominion Energy,51.41,86.99,52.04,32.08,26.5,64.14
Domino's,404.17,784.09,413.35,192.8,32.94,59.44
Dover Corporation,183.7,327.33,186.87,87.23,30.68,61.0
Dow Inc.,53.9,128.92,55.77,18.62,34.7,59.18
DR Horton,173.84,546.54,178.89,73.24,34.94,57.18
DTE Energy,116.09,193.84,117.78,72.53,26.06,65.24
Duke Energy,106.92,166.72,107.8,60.69,23.62,64.72
DuPont,79.64,188.01,81.61,27.98,33.08,59.7
Eastman Chemical Company,97.15,212.15,98.78,47.58,31.52,57.9
Eaton Corporation,311.89,661.55,318.86,148.08,32.34,61.2
eBay,53.6,117.05,54.87,23.17,32.02,60.48
Ecolab,243.17,440.57,245.76,125.62,26.78,62.16
Edison International,74.94,144.5,76.3,36.05,29.38,63.66
Edwards Lifesciences,86.5,184.04,88.78,41.42,32.9,59.9
Electronic Arts,140.2,322.91,144.37,56.28,33.94,60.12
Elevance Health,500.12,990.04,511.59,244.39,32.3,62.38
Emerson Electric,115.68,216.46,118.09,62.24,31.2,61.96
Enphase,105.46,1566.09,124.28,15.44,42.88,52.86
Entergy,110.48,210.45,111.59,61.88,25.8,63.16
EOG Resources,129.25,328.12,134.7,50.42,37.4,59.02
EPAM Systems,208.9,589.77,219.73,67.31,38.3,56.2
EQT Corporation,35.88,107.8,37.41,12.35,36.86,56.04
Equifax,260.3,479.83,265.66,135.08,31.64,61.84
Equinix,786.82,1810.44,803.04,359.77,32.94,59.34
Equity Residential,70.14,123.43,70.99,37.16,29.14,60.66
Essex Property Trust,284.79,523.81,288.61,164.22,28.72,61.94
Estée Lauder Companies (The),99.18,216.43,101.41,47.24,32.46,60.54
Etsy,62.76,268.44,68.39,12.22,40.66,54.96
Everest Re,385.32,738.01,391.46,217.23,28.42,62.8
Evergy,55.37,100.02,55.93,32.52,25.4,62.62
Eversource,61.1,106.82,61.67,36.32,26.58,63.4
Exelon,36.13,66.02,36.62,20.7,27.92,62.76
Expedia Group,135.88,474.96,142.24,40.93,38.34,55.94
Expeditors International,120.2,265.08,121.7,61.48,28.42,60.76
Extra Space Storage,164.1,302.83,166.7,90.39,29.74,60.96
ExxonMobil,116.07,212.41,117.83,61.38,29.76,61.24
"F5, Inc.",174.97,406.29,179.64,71.18,33.66,58.0
FactSet,424.32,752.85,432.57,242.26,30.32,62.92
Fair Isaac,1590.79,4410.73,1634.28,631.97,33.7,58.14
Fastenal,67.89,153.88,69.26,34.31,31.66,61.28
Federal Realty,109.5,225.38,111.5,54.58,30.34,61.34
FedEx,306.31,646.28,312.21,151.93,31.36,59.16
Fidelity National Information Services,75.25,153.95,76.88,37.62,31.62,61.74
Fifth Third Bank,40.99,97.08,42.16,16.76,35.04,58.66
First Solar,216.43,929.71,232.59,56.53,39.98,56.4
FirstEnergy,39.59,75.5,40.01,20.52,27.4,60.4
Fiserv,156.04,345.47,157.98,85.7,27.3,62.94
FMC Corporation,57.82,120.46,59.01,26.36,32.26,58.88
Ford Motor Company,13.98,31.66,14.37,6.5,33.44,58.48
Fortinet,58.48,193.55,61.56,19.75,38.38,58.56
Fortive,75.59,146.67,76.96,37.28,30.0,61.08
Fox Corporation (Class A),36.89,83.61,37.99,16.89,34.76,59.34
Fox Corporation (Class B),34.33,86.87,35.17,14.5,32.58,58.7
Franklin Templeton,23.49,49.52,24.1,10.82,33.46,60.66
Freeport-McMoRan,45.9,149.31,48.58,13.09,38.14,54.9
Garmin,170.07,377.89,173.84,70.59,31.7,61.38
Gartner,458.55,989.18,468.69,216.33,31.7,61.42
GE Aerospace,159.13,342.28,163.28,72.65,33.34,59.02
GE HealthCare,80.44,176.64,82.26,38.63,32.8,58.96
GE Vernova,163.34,642.38,172.76,49.72,38.4,55.0
Gen Digital,25.48,60.82,26.22,9.74,34.42,58.04
Generac,156.49,495.59,164.85,54.97,38.32,57.24
General Dynamics,288.22,482.65,291.44,164.36,26.54,63.2
General Mills,64.38,108.24,65.27,37.89,24.88,67.12
General Motors,48.3,126.85,50.13,18.59,34.94,59.98
Genuine Parts Company,138.26,251.63,140.73,77.53,29.4,63.14
Gilead Sciences,72.56,164.63,73.89,37.06,30.58,60.38
Global Payments,100.64,200.12,103.01,44.57,33.34,60.36
Globe Life,88.26,200.13,90.91,37.8,34.0,60.02
GoDaddy,145.19,359.35,150.53,57.85,36.12,59.18
Goldman Sachs,484.93,996.49,496.19,227.08,32.02,60.82
Halliburton,34.4,117.17,36.07,9.93,37.94,57.02
Hartford (The),101.11,221.49,103.72,43.16,33.2,59.3
Hasbro,59.0,122.1,60.17,27.29,32.4,59.22
HCA Healthcare,322.16,847.14,330.63,110.31,33.32,57.7
Healthpeak,20.9,42.75,21.37,10.2,31.66,60.44
Henry Schein,70.34,141.4,71.34,34.3,28.32,61.92
Hershey's,191.15,337.06,193.01,113.88,24.78,64.06
Hess Corporation,152.61,427.48,159.66,51.17,37.56,57.16
Hewlett Packard Enterprise,20.48,48.27,21.03,6.67,34.2,57.3
Hilton Worldwide,219.19,472.66,223.31,104.99,31.68,59.1
Hologic,78.11,163.61,79.89,35.51,31.14,61.74
Home Depot (The),363.36,675.43,368.17,213.62,27.84,62.48
Honeywell,214.61,354.66,217.22,116.66,27.28,63.46
Hormel Foods,31.79,55.01,32.02,19.27,25.0,62.98
Host Hotels & Resorts,17.86,48.84,18.45,8.33,35.38,60.06
Howmet Aerospace,78.03,211.58,81.46,30.6,36.44,57.86
HP Inc.,37.15,88.23,38.39,17.03,35.04,59.86
Hubbell Incorporated,370.23,753.85,375.75,182.63,28.78,60.04
Humana,387.38,940.67,396.28,190.56,33.12,60.46
Huntington Bancshares,14.86,32.51,15.19,5.75,33.34,58.42
Huntington Ingalls Industries,263.42,581.28,267.85,138.88,31.06,60.9
IBM,183.25,318.65,185.42,102.59,26.8,64.36
IDEX Corporation,202.97,366.19,205.29,111.56,27.26,62.66
Idexx Laboratories,468.2,1007.17,479.02,221.0,32.22,60.8
Illinois Tool Works,242.62,450.38,246.3,137.85,28.12,63.28
Incyte,65.87,168.3,68.06,21.35,36.08,55.86
Ingersoll Rand,96.86,218.04,100.07,40.87,35.52,59.1
Insulet Corporation,195.03,589.89,202.35,65.19,36.46,56.74
