Stock,avg_returns,avg_volatility,Avg_Annual_Returns,Avg_Annual_Volatility,Sharpe_Ratio
S&P 500,0.05969379989786914,0.0865400696029564,0.1304380140084376,0.18190066058936563,0.6270457531107612
3M,0.018950806252769188,0.13057453414416823,0.05530563005108378,0.26181786612912183,0.1035545679865437
A. O. Smith,0.10077431975246187,0.16544049127878616,0.2390669142585501,0.35680636981829256,0.5763105648203668
Abbott,0.05989188938821666,0.10715537681557166,0.13484984288403665,0.2260140314457428,0.5082588874894104
AbbVie,0.07822873257415809,0.1563162394900381,0.1870031769923476,0.3542876969718986,0.4657194673581685
Accenture,0.08438791221857136,0.12308979444555918,0.19104395442485345,0.26825147573731184,0.6414723153516029
Adobe Inc.,0.12269892534770002,0.2035766396816189,0.30188459813579477,0.45111987135276144,0.5760469803985214
Advanced Micro Devices,0.20605586483486668,0.5015351627694231,0.7060370921622384,1.6097595394465363,0.40002508886436255
AES Corporation,0.035155895847189894,0.20303635783301194,0.11275982640759484,0.4543409618461833,0.1464106201718466
Aflac,0.056593757411434714,0.14833249307364457,0.13838667074625727,0.3079401524253151,0.3449314413303007
Agilent Technologies,0.08020176203910476,0.1742426474125629,0.19718775591627394,0.38169756686725814,0.42912884055667766
Air Products and Chemicals,0.05538762549479716,0.13080571343561254,0.13094833313750737,0.2868396992454358,0.3819283378624199
Airbnb,0.009611279432453438,0.21822578639429396,0.06687637492535214,0.44338388386200284,0.019163925226836246
Akamai,0.0678742514604532,0.23394334709753836,0.19506942002721112,0.5216503920534459,0.2669237465213843
Albemarle Corporation,0.07217950222719195,0.2780682391082036,0.22686895115557298,0.670459871902005,0.2400500167219458
Alexandria Real Estate Equities,0.0303373395345396,0.12937284411371705,0.07832762994580726,0.2653030187236987,0.1925297609846162
Align Technology,0.15802376545017824,0.34102487899489936,0.4572841011307386,0.838502773815249,0.44745869896792756
Allegion,0.05616256703984044,0.13261357852933514,0.1330588541830661,0.28129934481022134,0.382565275916992
Alliant Energy,0.044680255648099916,0.09224579485556368,0.09986371537514276,0.1934202423496377,0.42550491250178535
Allstate,0.07121605696530918,0.14821916054004422,0.1694665438056733,0.32215434442561164,0.4438484197737037
Alphabet Inc. (Class A),0.1046150966589097,0.1604610340380373,0.245914969488792,0.35546654884673806,0.6181306288726273
Alphabet Inc. (Class C),0.10622025684628023,0.1664807254765885,0.25142786762766417,0.37263761865739325,0.6054216773642569
Altria,0.03434698568176484,0.11886477904063325,0.08399852451258223,0.24439451989850108,0.2432829063052716
Amazon,0.14779639207854214,0.21894101337875443,0.36535816101028495,0.513757451675884,0.6502535687675386
Amcor,0.017051204058998164,0.12316398205202995,0.04955735499195552,0.2658560583708566,0.09436189936326408
Ameren,0.04165888466955758,0.09033428999179799,0.09321120688069912,0.18674656440436965,0.4010621868331666
American Airlines Group,0.07885137893399204,0.3626118646289531,0.29537045581252486,0.9679425860122273,0.20248141143891274
American Electric Power,0.0381478815330546,0.09590818394535343,0.08694680085534084,0.19661141848304076,0.34114570214645495
American Express,0.07484990782205149,0.162318336868642,0.18164211146880563,0.3584023177706031,0.4276823702229363
American International Group,0.05445797816804663,0.21619226193511024,0.1586074962927449,0.45400294199635,0.22678314639835206
American Tower,0.06296675070829444,0.12740336389781484,0.1461253372565244,0.2704033757984272,0.45161707013495617
American Water Works,0.07090140133383149,0.11240288441812382,0.1594606447028561,0.24073933677349835,0.5824777975524009
Ameriprise Financial,0.10427320239885034,0.19929197792804684,0.2591253593800293,0.44229673078508086,0.4959757369416631
Ametek,0.09318469868991942,0.13993153839329361,0.2146280801864205,0.31278489588125763,0.6271315453121579
Amgen,0.06733765135868998,0.12211484202674051,0.15411747706008627,0.2679735341171415,0.506968960953229
Amphenol,0.09886601675736383,0.1401496517933703,0.22714288969532626,0.3114657897856551,0.6666930583295116
Analog Devices,0.08032811328285593,0.13143118731315184,0.1843781013577442,0.28857484784762033,0.5698715657568697
Ansys,0.08631707414456102,0.15319478246864354,0.20354678613828486,0.3318723205166157,0.5280066074162271
Aon,0.08084915569645124,0.11810233020462298,0.18217911092161562,0.25664037703290576,0.6385982290641828
APA Corporation,0.0023242761161002723,0.3059270684482812,0.09821884257391336,0.763124992388032,-0.01014928387695215
Apple Inc.,0.13535215632294995,0.1982401187141516,0.3283125432337088,0.46391517420425044,0.6553816673751296
Applied Materials,0.13563998358638157,0.26993927087251096,0.3625247633743476,0.6657472146361489,0.48237059537903576
Aptiv,0.07868569494664815,0.24183843556027704,0.22202954438079053,0.5625601989681583,0.30291495228004683
Arch Capital Group,0.10051414070125046,0.14357003593810752,0.2317378965177295,0.3094872370326996,0.6622894763557456
Archer-Daniels-Midland,0.04014188309450748,0.16530161310672137,0.10921202833797437,0.3486615891828323,0.20999593205827205
Arista Networks,0.18539193626503833,0.26645429210534477,0.476122606490674,0.6391438683584766,0.6753980882186842
Arthur J. Gallagher & Co.,0.0910773250042977,0.1023303914378593,0.20091827507480425,0.22413318798276555,0.8369762591681509
Assurant,0.072464048483899,0.1586433495992985,0.1753397260687932,0.3410572130689889,0.42255053157784417
AT&T,0.002849365195473556,0.11364241337866433,0.018617793006058994,0.22928561203296557,-0.022701485363179067
Atmos Energy,0.05588246853333481,0.09497231787935818,0.12390497624405501,0.20314159960289588,0.531241659469648
Autodesk,0.0975169893473762,0.1954362097361098,0.2427280460273983,0.4293458842224255,0.47119094610099743
Automatic Data Processing,0.07510419395893997,0.10806051809823503,0.1675227992304877,0.23168567139735943,0.6447773748056121
AutoZone,0.1152850142943535,0.1427826598020946,0.2642417822642218,0.31631329167448097,0.7693917291300963
AvalonBay Communities,0.03598445886736708,0.13250552807305813,0.09081654575741858,0.27118159936430325,0.23059597989824634
Avery Dennison,0.08112676409953626,0.17050777263019967,0.19789975395244552,0.36854124210492184,0.4439536459389732
Axon Enterprise,0.21999009499848243,0.41811094920285535,0.6631431306279726,1.207740622841808,0.5131673270650419
Baker Hughes,0.019113996386998514,0.25363271656898273,0.1029046895027717,0.5480280110515059,0.05395510402874581
Ball Corporation,0.07069504466604425,0.1600826413381402,0.17200707932895667,0.34494412082184667,0.4077008433959966
Bank of America,0.05833720509889191,0.24052053679107024,0.17791139872548942,0.5260675752805666,0.21997285148845788
Bank of New York Mellon,0.03742873321801549,0.157143198980587,0.10094537394691823,0.317417672599691,0.20363284345855123
"Bath & Body Works, Inc.",0.08512935017564206,0.38473986773626434,0.3254885865396805,1.182359905989221,0.20715330039789412
Baxter International,0.02113935460828319,0.14138060113403206,0.06270839985863055,0.2843241121178611,0.11111947256444304
Becton Dickinson,0.04680232543680224,0.09562786825065382,0.10493721009471257,0.2021054044957371,0.4326469826654712
Berkshire Hathaway,0.0667924090686679,0.10495699071887482,0.1490588968081031,0.22132493428737157,0.5846508352511965
Best Buy,0.05814048906777223,0.28611085220177357,0.20149755096235442,0.7428662888188365,0.18423373976451995
Bio-Rad,0.05699337383737112,0.17696996126006637,0.14854449750774962,0.37209929641691125,0.2913723701513915
Bio-Techne,0.06932432215276628,0.17057024736681964,0.17254048257740714,0.37929671770526174,0.3745970141904707
Biogen,0.07638721596361381,0.22439635287709297,0.20894891350907951,0.4936418144027416,0.31621725698480263
BlackRock,0.06539831984977362,0.16958858759294448,0.16382573081154814,0.35964253566797616,0.35361520442807737
Blackstone,0.11035693976024054,0.24092112375849634,0.29091909738496274,0.5618327424663834,0.4355272852122188
Boeing,0.06584533550688648,0.22865273681027426,0.18829355925053026,0.4829856310738463,0.2642265278354897
Booking Holdings,0.1263447150198156,0.2251509784158534,0.3193310357761452,0.5879766163529476,0.5370418511664615
BorgWarner,0.04873601882974508,0.22601449911035448,0.15091533639970126,0.5125078239975176,0.19161072506757332
Boston Scientific,0.1007591360908656,0.18959019182119038,0.24760494548641457,0.4383649577260532,0.5028209444576605
Bristol Myers Squibb,0.032797375996799605,0.14611631114088766,0.08801435494101875,0.31040157956949854,0.18730392934013468
Broadcom Inc.,0.1817181257908766,0.20828976498417867,0.43983007866836754,0.5054917261705884,0.846363761679992
Broadridge Financial Solutions,0.09297867928742674,0.1456827053607032,0.2158198385142412,0.3198697845765941,0.6009598894476385
Brown & Brown,0.08995600877121258,0.1241155932642815,0.20340442255503421,0.26620509710662393,0.6810328160121071
Brown–Forman,,,,,
Builders FirstSource,0.051582171880796356,0.12858615187794803,0.12235478400834576,0.27729413239044876,0.3589263262592878
Bunge Global SA,0.037737080321850705,0.1969058199459681,0.11565917869374279,0.4477547793245612,0.16407774819093965
"BXP, Inc.",0.006955325639312922,0.14922677726391576,0.03622135763211411,0.28864669088812606,0.01022677623861209
Cadence Design Systems,0.15819693005668004,0.16352110593978078,0.36815171462352986,0.3997923827985258,0.9342385033373827
Caesars Entertainment,0.22181289812567534,0.549049879380924,0.7941540850535708,2.686677173418979,0.3941056896146322
Camden Property Trust,0.0407780023995712,0.14174183916946076,0.10330391426159294,0.2987475081211383,0.2493885067900381
Campbell Soup Company,0.016062552745995943,0.12409801906793114,0.04777907167085163,0.25539065180958404,0.08568497745922612
Capital One,0.06826824221259578,0.23110118737554747,0.19458968357436623,0.5537616056387785,0.2719113049430357
Cardinal Health,0.050778054915225114,0.15060897272203408,0.12681116483213611,0.32762979407108367,0.3011031634847937
CarMax,0.06716919757496122,0.22662404363452787,0.19019402073566233,0.513797845362739,0.2724334973702191
Carnival,0.012789068819691066,0.2686689073673287,0.09790425441465136,0.5879563977966303,0.027393761758233163
Carrier Global,0.18150817994782237,0.3202995639527527,0.49844707719477016,0.9247511295748039,0.5497321351157696
Catalent,0.07729534985000122,0.25981801884304473,0.228042345816737,0.5811421828725781,0.2766018053351014
Caterpillar Inc.,0.08171307477951344,0.20315423253641623,0.21136313989643857,0.45731082001381135,0.37549726160105273
Cboe Global Markets,0.09307642858852498,0.15880910334617923,0.2200290399855575,0.3508121389777019,0.5519029448711261
CBRE Group,0.0895932924834835,0.21698708365534744,0.23428361452301774,0.478138447552646,0.3878759707086542
CDW,0.1281943968819891,0.14493599866900767,0.2938211377646267,0.3218540844836939,0.8470302839181036
Celanese,0.07756170517794914,0.1987033136943293,0.20061106301119527,0.4374128752256645,0.36301603157704176
Cencora,0.08544221576958581,0.13901097068573584,0.19750338570673756,0.30405676712677676,0.5755876575457252
Centene Corporation,0.11790456303501702,0.21275959219394164,0.2949644472274582,0.4972119765021173,0.5286499428569319
CenterPoint Energy,0.03586076275029588,0.1367637319564921,0.09170654550789736,0.27744588867411,0.22251181315051602
CF Industries,0.09099450905236645,0.2760930523435328,0.26647482261957284,0.6575421138912897,0.309914688351067
CH Robinson,0.020627391473134866,0.13863163742482076,0.060893564882964296,0.30466239770607245,0.10962991547979883
Charles River Laboratories,0.0878433441898474,0.20199139728782678,0.22419212093649085,0.4536392833845249,0.40800810587485614
Charles Schwab Corporation,0.07591360279134496,0.23551103180008975,0.21303983196451512,0.5356664489434084,0.29928273624035157
Charter Communications,0.10133149856048065,0.21483149646514174,0.2590705783138978,0.481442138705046,0.44640699040429566
Chevron Corporation,0.037536972179001885,0.15546916398217625,0.10064679012505352,0.34575473616913116,0.2065216958602622
Chipotle Mexican Grill,0.15308772446502214,0.2704937928752289,0.40275748859137056,0.647712974505576,0.5458850131681475
Chubb Limited,0.06502627702904648,0.10977986474431235,0.14632917927358116,0.2301570753492568,0.5428778800960267
Church & Dwight,0.07458108623081783,0.11911576678680294,0.1689090619078781,0.25723008050986845,0.5805433765553667
Cigna,0.0978375205591522,0.16637969414773235,0.23292159106445634,0.36718024230004775,0.5554061404733386
Cincinnati Financial,0.0654823279955261,0.16037640639244743,0.16096590495858326,0.34229854430383005,0.37445103408258257
Cintas,0.13029951906455037,0.1380837003270584,0.2966387157601496,0.3334041665907892,0.9043087778598266
Cisco,0.03521067240348815,0.1494165096054284,0.09398011231344426,0.3129771196396489,0.19931837320191637
Citigroup,0.03812143475547837,0.21369719339204998,0.12334968172209988,0.4658480587405785,0.1529838434334297
Citizens Financial Group,0.05154089418347096,0.2639932815540508,0.17540098524981357,0.6053429111836919,0.1746698898267389
Clorox,0.03644734484478621,0.11914547624924596,0.08841472626912933,0.2565253740239093,0.26033827755635724
CME Group,0.052542761303203324,0.1332830075810748,0.1256055977809753,0.2815990586638789,0.35348500441902875
CMS Energy,0.05360128882993773,0.09434108935592773,0.11897339850397838,0.19770858337794542,0.510616025099834
Coca-Cola Company (The),0.03331657325304614,0.08288855964371702,0.07461170976114079,0.17064845939651388,0.33644397481980326
Cognizant,0.052190510620671676,0.17261179098199794,0.13689127011777433,0.3794033023550446,0.2709044009984397
Colgate-Palmolive,0.03169826331226856,0.08117362066303117,0.07098859870922247,0.16967614590605734,0.323615557841029
Comcast,0.06679133272598278,0.14698446625917794,0.1596420675919676,0.3107369324652651,0.41747347531512086
Conagra Brands,0.02507943299426313,0.13566274074854567,0.06918701537127785,0.27589541408735596,0.14484608011318048
ConocoPhillips,0.06056104737815544,0.2133205744517764,0.1702825261673249,0.4811387770177773,0.2584459128727547
Consolidated Edison,0.030393845167180106,0.09225364436591224,0.07021980281302836,0.19030656547522692,0.2706085874367788
Constellation Brands,0.1173912890353012,0.18525905824405428,0.2828744998382844,0.44696180375354555,0.6043541045554726
Constellation Energy,0.3796236340643854,0.29206252442972813,0.9884919684943381,0.79104078243396,1.281213390918947
Cooper Companies (The),0.09874595260577461,0.17112717288424018,0.23651889116174563,0.38125255255718854,0.545306360489421
Copart,0.13453454280376337,0.18100407453017886,0.319921833162066,0.4231085873771537,0.7132730374133758
Corning Inc.,0.03867650016176209,0.1850024413739658,0.11306509055351611,0.4064335906579152,0.1797126737107758
Corpay,0.10710032506191254,0.2143225476267646,0.27159133937851304,0.5080550825489901,0.47438363069266826
Corteva,0.09232646827188547,0.20596128726347523,0.2355609396459439,0.4867499094410729,0.42191060585719115
CoStar Group,0.13206912653607425,0.2057408628105216,0.32389783215480694,0.4789420707548799,0.6155311493627713
Costco,0.10221674614303636,0.12018663885649075,0.22932249625005538,0.27004387558224235,0.8053102265317543
Coterra,0.0655161055183191,0.24887732150470337,0.19724696541886982,0.5823665511387269,0.24143175591737437
CrowdStrike,0.2924817176456193,0.519748054109081,0.9404139516480878,1.5705724228536744,0.5522916316795852
Crown Castle,0.04408805176929688,0.1259543094282327,0.1059798588084975,0.25888302375060607,0.3069274498456012
CSX,0.08116296092486454,0.17607379319959943,0.1999065562372348,0.40862719958487703,0.4301250218400542
Cummins,0.07032212995706255,0.18361047552388574,0.17929272903745455,0.41178157133786786,0.35342707431306136
CVS Health,0.03655002813372844,0.15802514093509892,0.09940083979318484,0.32666841191473944,0.1969358240729818
Danaher Corporation,0.09141529596819113,0.13145612494665038,0.20846317121416627,0.29865806152669416,0.654104776203176
Darden Restaurants,0.06861681549542951,0.18527952787929228,0.17626068802937095,0.4414564166917847,0.34103929041296965
DaVita Inc.,0.06828901838068442,0.18433508313034916,0.17521123466179653,0.40890879158038235,0.341008344878162
Dayforce,0.07999736841739602,0.2536357968130455,0.23068082078809024,0.5443037576422496,0.29399695380117985
Deckers Brands,0.15725096434599187,0.30065187237363916,0.42959576515379466,0.7028578010941283,0.5049752272218937
Deere & Company,0.08678197591677335,0.20184715670797876,0.22182580919142564,0.49691209691754623,0.4030413926268198
Delta Air Lines,0.08116139051126257,0.26957534244894776,0.2415602542425749,0.6174354187520794,0.2809313828329054
Devon Energy,0.0444782663571071,0.36649040522890014,0.2252120594475467,0.9792890044249961,0.10654862725067102
Dexcom,0.202607264581525,0.35644624401583697,0.5732822058226454,0.9337152229600262,0.5531775158594144
Diamondback Energy,0.16344380070620645,0.38319488288737474,0.5003879642861606,1.1174672560844605,0.4123608925467386
Digital Realty,0.04613696479212324,0.14938914343939425,0.1167133503085805,0.31497635957734377,0.27249468787008835
Discover Financial,0.10582508658488746,0.2415743084677714,0.2811907552913205,0.5832393807171457,0.41559001220883424
Dollar General,0.0753197920005244,0.1642301630476397,0.18327656950616472,0.3371747510082692,0.42556479226550464
Dollar Tree,0.08815736400502987,0.20286344390134925,0.22522838066833129,0.45619970550167827,0.40780214332669124
Dominion Energy,0.013009087232605491,0.10133861321126393,0.03645401942532938,0.19649902622963109,0.07479745590535995
Domino's,0.15551399936187718,0.1987178795364122,0.374690224402784,0.4636690881526968,0.75526562044937
Dover Corporation,0.07591029419953658,0.16007971286275913,0.18320122449880036,0.34236604830244166,0.44028738032867637
Dow Inc.,0.03477565758185947,0.2184442398780539,0.11843933802196087,0.49506082796246725,0.1343429372127936
DR Horton,0.1136119723700845,0.21930680849588335,0.28821349189920226,0.538054818894986,0.49329410396617746
DTE Energy,0.042902891525792006,0.0960825399131853,0.09687568333291012,0.19616279938428413,0.39001544692954027
Duke Energy,0.02855609735774163,0.08631477651803114,0.06537577789623875,0.17462982374280306,0.267936516912429
DuPont,0.04023118143986891,0.19175336600453782,0.11883985975619465,0.4128373240421833,0.18149337028910187
Eastman Chemical Company,0.05949523206401558,0.201503577638869,0.1631223491245783,0.45770074506246977,0.2683129298154996
Eaton Corporation,0.09458806058240055,0.17929507238942247,0.23026064893982734,0.40103785219512683,0.49727436797217206
eBay,0.07613480470603025,0.18983221455652696,0.19409219056283725,0.4236768133917407,0.3724635889213122
Ecolab,0.06581317052510248,0.11731765477928628,0.14971725201153047,0.24727142435026198,0.5147047463510861
Edison International,0.03414155316936449,0.11942819565244386,0.083707809945153,0.2412505477722964,0.24041505636990926
Edwards Lifesciences,0.10929474939395467,0.21330116417728937,0.2760193534826158,0.47454282951161914,0.4869431117037842
Electronic Arts,0.09930927742856403,0.22602087030729467,0.25955186584076967,0.5202202366570767,0.41536014139535177
Elevance Health,0.09160189276050061,0.1518880594061393,0.21465814685981452,0.3339714860776704,0.5673433205875291
Emerson Electric,0.0400624436849282,0.1440285320070549,0.10246823489839609,0.3038253772776293,0.24046087551462458
Enphase,0.3636507332533156,0.8584799045076581,1.5962828411450944,3.363479514269583,0.4172742012864372
Entergy,0.016709069102133035,0.11123569681751255,0.04606721020154497,0.22796884332387768,0.10140496841775998
EOG Resources,0.05816473384714209,0.23934902824533746,0.176984350765541,0.5791311278824712,0.22032893742798695
EPAM Systems,0.15453908185355802,0.27381143972624267,0.4079082467329051,0.6292337337795945,0.544571348893285
EQT Corporation,0.06340118552051759,0.33925327677339223,0.24588229988275306,0.9734651639389935,0.17088108711125263
Equifax,0.08858837504172616,0.16806149688285335,0.21326132474486176,0.3684706249579702,0.49481386162034663
Equinix,0.09202616267558783,0.1755081977494755,0.22331555122354144,0.40702517986330217,0.4934068437063703
Equity Residential,0.027864963367989756,0.14578519751114333,0.0777536927759056,0.30140422852178617,0.1538959165374056
Essex Property Trust,0.045381799529906494,0.13852999528690424,0.11200823611670263,0.28291621799803257,0.28840384111568446
Estée Lauder Companies (The),0.07249428744596369,0.19111112123454896,0.1867571223852404,0.4118708861063512,0.3509218628058264
Etsy,0.1943849771904281,0.5229904171774725,0.6999504053103632,1.5198238203841177,0.3612987049184916
Everest Re,0.06419347203343354,0.11969652009651968,0.14683094872268415,0.25166588003840856,0.49094372339832565
Evergy,0.03651922847723593,0.10640865513912105,0.08569170892950974,0.22212304095229088,0.2921755909532219
Eversource,0.03404314183525595,0.10318292172299891,0.07988892185892553,0.20869405297994376,0.27731260733870466
Exelon,0.013701563682571341,0.12730815987410463,0.043793641657505676,0.2632909232646984,0.06497892131444079
Expedia Group,0.07544531207299107,0.27459669403334813,0.23196462709041776,0.6244621094868819,0.25497792513504325
Expeditors International,0.05111285551498527,0.13105426673656917,0.12200859586415058,0.2869004636357335,0.3485856651076293
Extra Space Storage,0.10175635877910154,0.1604966200802117,0.23961895021289742,0.3517282426212462,0.6001817480737868
ExxonMobil,0.03423234878580657,0.17899097841019737,0.10166525604423741,0.40689504563419043,0.16091946232268856
"F5, Inc.",0.06355162841898204,0.24071913174922147,0.18907137006994637,0.5777006108277126,0.24145322898600216
FactSet,0.07639444029984797,0.13562945190819636,0.1770151340848334,0.29969739337504386,0.5232287126579014
Fair Isaac,0.17039143339659882,0.19687802747875333,0.40856609705913727,0.4975036180729778,0.837890437697399
Fastenal,0.07364726943041515,0.14643582811701167,0.17415584315512062,0.3306234045061662,0.46585629711110643
Federal Realty,0.022789284379686515,0.13817250546935778,0.06518415923418984,0.2770013329591228,0.1256405356571519
FedEx,0.06397240629860995,0.24429003813809394,0.19169801739131043,0.6768550742456266,0.2396462416780606
Fidelity National Information Services,0.05050898299737926,0.1576650468420796,0.12842035632249527,0.32245859792810727,0.2859211164482537
Fifth Third Bank,0.0602234332509188,0.2231278893296143,0.17384569567619373,0.508175463452388,0.2455731403013844
First Solar,0.10679063986002642,0.4396004632470946,0.4181794050955713,1.1212376562679325,0.23057624264519172
FirstEnergy,0.00788291281686383,0.12850470640803363,0.03233675277823697,0.2549604380330929,0.01909421145749402
Fiserv,0.0996371054632713,0.11394065714644153,0.2221805634708244,0.2463801284603649,0.8268153883188996
FMC Corporation,0.05194150806685251,0.20536708390884179,0.14874464129728315,0.4246290840146936,0.22648367207703404
Ford Motor Company,0.02851899059323228,0.24511796259902402,0.11791712823697255,0.5644351456176119,0.09419861999904926
Fortinet,0.17390320552330193,0.299116025193632,0.4674938154319819,0.7879793820329849,0.5632395945179302
Fortive,0.04980977528340446,0.13618349409972474,0.12063673703702155,0.2884963875974527,0.32588794110011393
Fox Corporation (Class A),0.0008879492122849923,0.16915390378040954,0.030366334259071655,0.35853143902525436,-0.026846956917033336
Fox Corporation (Class B),-0.008017884710087372,0.15605100762021773,0.008360506115366427,0.3237994173561505,-0.08617119296172257
Franklin Templeton,0.0030091810885789104,0.1703411781323284,0.03503532375607777,0.3547575498212356,-0.014206991623403888
Freeport-McMoRan,0.07424715523323698,0.41307142053697155,0.32458666715795215,1.2152466349856088,0.16660058051063314
Garmin,0.07061795057432467,0.18827856174257002,0.18166158211241662,0.4062480612357147,0.34623556283604096
Gartner,0.12620795902066564,0.1823792416904922,0.3015971427102152,0.43397885190755026,0.6622395242009411
GE Aerospace,0.05709034749215425,0.2858687428966708,0.19913781672205855,0.6962522357498075,0.18071626225817164
GE HealthCare,0.07163467358918005,0.18876150961243512,0.1839012650050244,0.4171535829807078,0.3507359998639943
GE Vernova,,,,,
Gen Digital,0.02709037352629135,0.17960514238433195,0.08716351465884753,0.382255597964332,0.12060432379220862
Generac,0.13436070311301437,0.33212855182777773,0.3970521256501129,0.8121599367609805,0.38819753864595474
General Dynamics,0.06019899684145982,0.13929871740312477,0.14342055487411307,0.29211727046229213,0.39318222797079083
General Mills,0.028328637912991454,0.1108682720653397,0.06974808315510499,0.229016664429784,0.20654620755765127
General Motors,0.03664849496296559,0.2494005679767801,0.13682196502865024,0.6001164533373666,0.12517725375207064
Genuine Parts Company,0.0553334625550795,0.13300927821073966,0.13141517920390697,0.28815184941889627,0.3751937191673626
Gilead Sciences,0.06052115309959278,0.19400907213219248,0.1623339855564881,0.43892692900988267,0.28396577394395756
Global Payments,0.07608024499961061,0.17481533162971424,0.18850044631297966,0.37927559807863204,0.4041466361190488
Globe Life,0.06301668591171897,0.1356942818523103,0.14841220242830588,0.2787731230625461,0.42439127387085873
GoDaddy,0.10764082817706519,0.18970019226410845,0.2628381206151216,0.4504309287944112,0.5388060506303353
Goldman Sachs,0.05608795127370879,0.20873425882868454,0.15887942283097503,0.47715947863409464,0.2426948732735843
Halliburton,0.04986988549139839,0.297615794344338,0.19077687379213107,0.7035401758510539,0.149322279114513
Hartford (The),0.06715540535346962,0.19430192350386566,0.17656321378953327,0.42720881849205433,0.3176818194124358
Hasbro,0.030819379232421396,0.17942100739997943,0.09477138130175522,0.37050345097465665,0.1415116480557597
HCA Healthcare,0.11791151406921646,0.20967319686742825,0.29367541722014223,0.46366951136977835,0.5364648365661677
Healthpeak,-0.004065087063471828,0.1443870716860204,0.012728078117360214,0.2843063713992982,-0.06575591382269662
Henry Schein,0.04987145785832306,0.12243063471431306,0.11721509689889664,0.25399577214437885,0.3629993521033488
Hershey's,0.0623929473661542,0.12515319776092784,0.1443376653434724,0.26540745065604393,0.45515201853286025
Hess Corporation,0.06227444051572515,0.24920942490152284,0.19051475076623078,0.5775368391130767,0.22810222269387428
Hewlett Packard Enterprise,0.06666498143373248,0.21572873472835621,0.18429065202890207,0.49317748833930986,0.28385539242796926
Hilton Worldwide,0.09329452031357939,0.17799629382591814,0.22696312017604944,0.3805267946303753,0.49363557884012316
Hologic,0.0683272943006791,0.16656023570225562,0.16905766974838582,0.38856116045223865,0.37762961403159007
Home Depot (The),0.09864245712832595,0.13909009569312802,0.22635582905926363,0.3107923906729336,0.6701644706216537
Honeywell,0.06732197107774605,0.13419803564958402,0.1571802067602843,0.2946837553442576,0.4612046219509045
Hormel Foods,0.05052929556002486,0.1320941381955105,0.12105572475006184,0.28682260876717314,0.34142377093105586
Host Hotels & Resorts,0.027334231526435576,0.1726708053799529,0.08522239362225814,0.36635447352736,0.12685997901503446
Howmet Aerospace,0.12587116626667344,0.3073063001751058,0.3619709849804129,0.7175551594372006,0.3919280191086838
HP Inc.,0.03830183506791636,0.24021184495447703,0.13575610356408419,0.5440461433272769,0.13684844847980104
Hubbell Incorporated,0.08908902965382202,0.15608284923019927,0.2104698767719375,0.3484363910221847,0.5359961923235425
Humana,0.08741578236017007,0.16482689396351216,0.20963330112041678,0.35620530356711866,0.49741012288257913
Huntington Bancshares,0.05158705087728847,0.1985738307037844,0.14525573404117023,0.4341794618557215,0.2324467123098268
Huntington Ingalls Industries,0.10056950361881462,0.1945708960769608,0.24909933794254768,0.4336962025454603,0.4889749122692896
IBM,0.020818169504509727,0.11914509270733548,0.056261271455301486,0.24653613364034985,0.12916144824264858
IDEX Corporation,0.08062930509718566,0.13728982438252432,0.18660285744016072,0.297528245302046,0.547746991854498
Idexx Laboratories,0.12726592146903123,0.20447895229524146,0.31252826838592973,0.4603862682374606,0.5958398325207035
Illinois Tool Works,0.06934417719993093,0.12405741678843865,0.1588828570642435,0.2626936104253168,0.5152046695402555
Incyte,0.09934513311560078,0.32830883115610315,0.31631591040815593,0.9131969470318821,0.2860596713328138
Ingersoll Rand,0.12862078923036172,0.23146511096821507,0.3273291308639887,0.5381768719521199,0.5322252322850195
